naslov,jezik,avtor,ocena
"The Hunger Games (The Hunger Games, #1)",English,Suzanne Collins,4.35
Pride and Prejudice,English,Jane Austen,4.3
To Kill a Mockingbird,English,Harper Lee,4.26
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",English,J.K. Rowling,4.5
The Book Thief,English,Markus Zusak,4.39
"Twilight (Twilight Saga, #1)",English,Stephenie Meyer,3.68
Animal Farm,English,George Orwell,4.02
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,English,J.R.R. Tolkien,4.62
"The Chronicles of Narnia (The Chronicles of Narnia, #1-7)",English,C.S. Lewis,4.28
The Fault in Our Stars,English,John Green,4.12
The Picture of Dorian Gray,English,Oscar Wilde,4.13
"The Lightning Thief (Percy Jackson and the Olympians, #1)",English,Rick Riordan,4.31
Wuthering Heights,English,Emily Brontë,3.9
The Giving Tree,English,Shel Silverstein,4.39
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",English,J.K. Rowling,4.5
The Perks of Being a Wallflower,English,Stephen Chbosky,4.24
Gone with the Wind,English,Margaret Mitchell,4.31
The Little Prince,English,Antoine de Saint-Exupéry,4.33
Jane Eyre,English,Charlotte Brontë,4.16
The Great Gatsby,English,F. Scott Fitzgerald,3.93
Crime and Punishment,English,Fyodor Dostoevsky,4.29
"The Da Vinci Code (Robert Langdon, #2)",English,Dan Brown,3.94
